Treatment,Players,Round,ID_First_half_round,ID_Second_half_round,RoundDescription,TreatmentDescription
4,4,7,36,31,Cost Treatment: low to high,Cost Treatment
4,4,8,9,11,Cost Treatment: medium to low,Cost Treatment
4,4,9,34,32,Cost Treatment: medium to high,Cost Treatment
4,4,10,33,31,Cost Treatment: medium to high,Cost Treatment
4,4,11,33,35,Cost Treatment: medium to low,Cost Treatment
4,4,12,10,12,Cost Treatment: medium to low,Cost Treatment
4,4,13,36,31,Cost Treatment: low to high,Cost Treatment
4,4,14,12,7,Cost Treatment: low to high,Cost Treatment
4,4,15,31,36,Cost Treatment: high to low,Cost Treatment
5,4,1,41,44,Shopping Costs: level 1 to level 4,Shopping Cost
5,4,2,43,42,Shopping Costs: level 3 to level 2,Shopping Cost
5,4,3,44,42,Shopping Costs: level 4 to 2,Shopping Cost
5,4,4,44,41,Shopping Costs: level 4 to level 1,Shopping Cost
5,4,5,43,41,Shopping Costs: level 3 to level 1,Shopping Cost
5,4,6,43,42,Shopping Costs: level 3 to 2,Shopping Cost
5,4,7,42,43,Shopping Costs: level 2 to 3,Shopping Cost
5,4,8,42,41,Shopping Costs: level 2 to level 1,Shopping Cost
5,4,9,43,44,Shopping Costs: level 3 to level 4,Shopping Cost
5,4,10,41,42,Shopping Costs: level 1 to 2,Shopping Cost
5,4,11,42,44,Shopping Costs: level 2 to level 4,Shopping Cost
5,4,12,44,43,Shopping Costs: level 4 to level 3,Shopping Cost
5,4,13,41,43,Shopping Costs: level 1 to 3,Shopping Cost
5,4,14,41,41,Shopping Costs: level 1 to 1 (give longer time for collusion to form),Shopping Cost
5,4,15,44,44,Shopping Costs: level 4 to 4 (give longer time for collusion to form),Shopping Cost
6,4,1,36,24,Demand Treatment: high to low,Demand Treatment
6,4,2,8,32,Demand Treatment: medium to high,Demand Treatment
6,4,3,19,31,Demand Treatment: low to high,Demand Treatment
6,4,4,23,35,Demand Treatment: low to high,Demand Treatment
6,4,5,7,19,Demand Treatment: medium to low,Demand Treatment
6,4,6,24,36,Demand Treatment: low to high,Demand Treatment
6,4,7,31,19,Demand Treatment: high to low,Demand Treatment
6,4,8,35,23,Demand Treatment: high to low,Demand Treatment
6,4,9,7,31,Demand Treatment: medium to high,Demand Treatment
6,4,10,32,8,Demand Treatment: high to medium,Demand Treatment
6,4,11,24,36,Demand Treatment: low to high,Demand Treatment
6,4,12,31,19,Demand Treatment: high to low,Demand Treatment
6,4,13,36,24,Demand Treatment: high to low,Demand Treatment
6,4,14,19,31,Demand Treatment: low to high,Demand Treatment
6,4,15,7,19,Demand Treatment: medium to low,Demand Treatment
